weekday,hour,minute,"number of occurences (if low, it was probably some special schedule)"
0,0,0,35
0,1,0,37
0,2,0,37
0,4,0,38
0,5,0,38
0,5,20,36
0,5,40,35
0,6,0,37
0,6,20,38
0,6,40,34
0,7,0,36
0,7,20,35
0,7,40,34
0,8,0,37
0,8,20,35
0,8,40,35
0,9,0,36
0,9,20,38
0,9,40,35
0,9,50,1
0,10,0,38
0,10,10,1
0,10,20,37
0,10,30,1
0,10,40,10
0,10,50,1
0,11,0,37
0,11,20,36
0,11,30,1
0,11,40,11
0,11,50,1
0,12,0,36
0,12,20,36
0,12,30,1
0,12,40,12
0,12,50,1
0,13,0,12
0,13,10,1
0,13,20,34
0,13,30,1
0,13,40,37
0,14,0,38
0,14,10,1
0,14,20,36
0,14,30,1
0,14,40,37
0,15,0,38
0,15,20,36
0,15,30,1
0,15,40,33
0,15,50,1
0,16,0,37
0,16,10,1
0,16,20,36
0,16,30,1
0,16,40,35
0,16,50,1
0,17,0,37
0,17,10,1
0,17,20,38
0,17,30,1
0,17,40,35
0,17,50,1
0,18,0,36
0,18,10,1
0,18,20,38
0,18,30,1
0,18,40,36
0,18,50,1
0,19,0,38
0,19,20,38
0,19,40,36
0,20,0,38
0,20,20,38
0,21,0,38
0,21,20,34
0,22,0,38
0,22,20,37
0,23,0,38
1,0,0,32
1,1,0,37
1,2,0,38
1,4,0,37
1,5,0,37
1,5,20,36
1,5,40,36
1,6,0,37
1,6,20,35
1,6,40,34
1,7,0,36
1,7,20,35
1,7,40,33
1,8,0,36
1,8,20,36
1,8,40,35
1,9,0,36
1,9,20,36
1,9,40,35
1,10,0,34
1,10,20,34
1,10,40,10
1,11,0,35
1,11,20,35
1,11,40,10
1,12,0,35
1,12,20,35
1,12,40,10
1,13,0,10
1,13,10,1
1,13,20,32
1,13,30,1
1,13,40,30
1,14,0,35
1,14,20,34
1,14,40,35
1,15,0,36
1,15,20,36
1,15,40,34
1,16,0,36
1,16,20,37
1,16,40,34
1,17,0,37
1,17,20,36
1,17,40,35
1,18,0,37
1,18,20,37
1,18,40,36
1,19,0,37
1,19,20,37
1,19,40,35
1,20,0,37
1,20,20,37
1,21,0,37
1,21,20,35
1,22,0,37
1,22,20,35
1,23,0,36
2,0,0,34
2,1,0,38
2,2,0,37
2,4,0,38
2,5,0,38
2,5,20,37
2,5,40,38
2,6,0,37
2,6,20,38
2,6,40,38
2,7,0,38
2,7,20,38
2,7,40,38
2,8,0,38
2,8,20,38
2,8,40,38
2,9,0,38
2,9,20,37
2,9,40,35
2,9,50,1
2,10,0,34
2,10,20,35
2,10,40,11
2,11,0,34
2,11,20,36
2,11,40,10
2,12,0,35
2,12,20,36
2,12,40,10
2,13,0,10
2,13,20,36
2,13,40,34
2,14,0,37
2,14,20,36
2,14,40,37
2,15,0,37
2,15,20,37
2,15,40,36
2,16,0,36
2,16,20,36
2,16,40,36
2,17,0,37
2,17,20,37
2,17,40,34
2,18,0,36
2,18,20,37
2,18,30,1
2,18,40,36
2,19,0,36
2,19,20,35
2,19,40,33
2,20,0,33
2,20,20,35
2,21,0,37
2,21,20,37
2,22,0,35
2,22,20,33
2,23,0,38
3,0,0,32
3,1,0,38
3,2,0,37
3,4,0,37
3,5,0,38
3,5,20,36
3,5,40,35
3,6,0,37
3,6,20,36
3,6,40,36
3,7,0,38
3,7,20,36
3,7,40,36
3,8,0,38
3,8,20,36
3,8,40,37
3,9,0,36
3,9,20,37
3,9,40,35
3,9,50,1
3,10,0,35
3,10,10,1
3,10,20,35
3,10,30,1
3,10,40,11
3,11,0,38
3,11,20,38
3,11,40,11
3,12,0,38
3,12,20,36
3,12,40,12
3,13,0,13
3,13,10,1
3,13,20,37
3,13,30,1
3,13,40,38
3,14,0,37
3,14,20,38
3,14,40,37
3,15,0,38
3,15,20,39
3,15,40,36
3,16,0,39
3,16,20,39
3,16,40,35
3,17,0,38
3,17,20,39
3,17,40,37
3,18,0,39
3,18,20,37
3,18,40,38
3,19,0,39
3,19,20,38
3,19,40,36
3,20,0,38
3,20,20,35
3,21,0,39
3,21,20,39
3,22,0,39
3,22,20,35
3,23,0,39
4,0,0,37
4,1,0,37
4,2,0,38
4,4,0,38
4,5,0,38
4,5,20,35
4,5,40,35
4,6,0,38
4,6,20,38
4,6,40,35
4,7,0,38
4,7,20,38
4,7,40,34
4,8,0,38
4,8,20,37
4,8,40,35
4,9,0,38
4,9,20,38
4,9,40,33
4,9,50,1
4,10,0,37
4,10,10,1
4,10,20,36
4,10,30,1
4,10,40,11
4,10,50,1
4,11,0,38
4,11,20,38
4,11,30,1
4,11,40,11
4,11,50,1
4,12,0,37
4,12,20,37
4,12,30,1
4,12,40,6
4,13,0,6
4,13,10,1
4,13,20,34
4,13,30,1
4,13,40,35
4,14,0,37
4,14,20,37
4,14,30,1
4,14,40,35
4,15,0,38
4,15,20,37
4,15,40,35
4,16,0,38
4,16,20,38
4,16,40,34
4,16,50,1
4,17,0,38
4,17,10,1
4,17,20,37
4,17,30,2
4,17,40,34
4,18,0,37
4,18,20,37
4,18,40,34
4,19,0,38
4,19,10,1
4,19,20,38
4,19,40,35
4,20,0,38
4,20,20,36
4,21,0,38
4,21,20,37
4,22,0,38
4,22,20,38
4,23,0,37
5,0,0,32
5,1,0,37
5,2,0,37
5,4,0,38
5,5,0,37
5,6,0,37
5,6,20,37
5,7,0,36
5,7,20,35
5,8,0,37
5,8,20,37
5,9,0,36
5,9,20,36
5,10,0,37
5,10,20,38
5,11,0,38
5,11,20,37
5,12,0,36
5,12,20,36
5,13,10,35
5,13,20,1
5,13,30,36
5,13,40,1
5,14,0,37
5,14,20,37
5,14,30,1
5,14,40,1
5,15,0,37
5,15,20,36
5,16,0,37
5,16,20,38
5,17,0,38
5,17,20,37
5,18,0,36
5,18,20,38
5,19,0,39
5,19,20,38
5,20,0,39
5,20,20,37
5,21,0,39
5,21,20,39
5,22,0,39
5,22,20,36
5,22,30,3
5,23,0,39
6,0,0,37
6,1,0,38
6,2,0,38
6,4,0,37
6,5,0,37
6,6,0,36
6,6,20,37
6,7,0,38
6,7,20,37
6,8,0,38
6,8,20,38
6,9,0,38
6,9,20,38
6,10,0,38
6,10,20,38
6,11,0,38
6,11,10,1
6,11,20,35
6,12,0,37
6,12,20,38
6,13,10,7
6,13,20,31
6,13,30,7
6,13,40,28
6,14,0,36
6,14,20,37
6,14,30,1
6,14,40,25
6,15,0,38
6,15,20,37
6,16,0,38
6,16,20,37
6,17,0,38
6,17,20,38
6,18,0,38
6,18,20,36
6,18,50,1
6,19,0,37
6,19,10,1
6,19,20,35
6,20,0,34
6,20,20,33
6,21,0,37
6,21,20,36
6,22,0,35
6,22,20,30
6,22,30,3
6,23,0,34
